WaterLevel,Date
341.68,11/15/2013
341.699,11/16/2013
341.661,11/17/2013
341.61,11/18/2013
341.568,11/19/2013
341.569,11/20/2013
341.601,11/21/2013
341.647,11/22/2013
341.708,11/23/2013
341.756,11/24/2013
341.797,11/25/2013
341.819,11/26/2013
341.855,11/27/2013
341.914,11/28/2013
341.959,11/29/2013
341.963,11/30/2013
341.975,12/1/2013
342.015,12/2/2013
342.062,12/3/2013
342.12,12/4/2013
342.156,12/5/2013
342.141,12/6/2013
342.151,12/7/2013
342.185,12/8/2013
342.229,12/9/2013
342.261,12/10/2013
342.276,12/11/2013
342.292,12/12/2013
342.304,12/13/2013
342.314,12/14/2013
342.32,12/15/2013
342.326,12/16/2013
342.332,12/17/2013
342.305,12/18/2013
342.24,12/19/2013
342.147,12/20/2013
342.036,12/21/2013
341.911,12/22/2013
341.78,12/23/2013
341.628,12/24/2013
341.525,12/25/2013
341.502,12/26/2013
341.503,12/27/2013
341.523,12/28/2013
341.545,12/29/2013
341.547,12/30/2013
341.552,12/31/2013
341.548,1/1/2014
341.533,1/2/2014
341.471,1/3/2014
341.34,1/4/2014
341.201,1/5/2014
341.063,1/6/2014
340.924,1/7/2014
340.794,1/8/2014
340.679,1/9/2014
340.58,1/10/2014
340.491,1/11/2014
340.405,1/12/2014
340.31,1/13/2014
340.222,1/14/2014
340.146,1/15/2014
340.088,1/16/2014
340.041,1/17/2014
339.999,1/18/2014
339.969,1/19/2014
339.937,1/20/2014
339.9,1/21/2014
339.853,1/22/2014
339.816,1/23/2014
339.805,1/24/2014
339.77,1/25/2014
339.706,1/26/2014
339.669,1/27/2014
339.643,1/28/2014
339.619,1/29/2014
339.588,1/30/2014
339.6,1/31/2014
339.622,2/1/2014
339.601,2/2/2014
339.556,2/3/2014
339.49,2/4/2014
339.409,2/5/2014
339.35,2/6/2014
339.285,2/7/2014
339.213,2/8/2014
339.145,2/9/2014
339.088,2/10/2014
339.028,2/11/2014
338.994,2/12/2014
339.009,2/13/2014
339.057,2/14/2014
339.123,2/15/2014
339.142,2/16/2014
339.198,2/17/2014
339.244,2/18/2014
339.345,2/19/2014
339.43,2/20/2014
339.496,2/21/2014
339.554,2/22/2014
339.609,2/23/2014
339.678,2/24/2014
339.74,2/25/2014
339.782,2/26/2014
339.824,2/27/2014
339.866,2/28/2014
339.908,3/1/2014
339.95,3/2/2014
339.992,3/3/2014
340.025,3/4/2014
340.176,3/5/2014
340.533,3/6/2014
340.565,3/7/2014
340.594,3/8/2014
340.631,3/9/2014
340.661,3/10/2014
340.696,3/11/2014
340.731,3/12/2014
340.766,3/13/2014
340.8,3/14/2014
340.835,3/15/2014
340.865,3/16/2014
340.863,3/17/2014
340.875,3/18/2014
340.89,3/19/2014
340.905,3/20/2014
340.927,3/21/2014
340.94,3/22/2014
340.956,3/23/2014
340.974,3/24/2014
340.976,3/25/2014
340.987,3/26/2014
341.022,3/27/2014
341.061,3/28/2014
341.076,3/29/2014
341.088,3/30/2014
341.104,3/31/2014
341.127,4/1/2014
341.151,4/2/2014
341.168,4/3/2014
341.185,4/4/2014
341.198,4/5/2014
341.21,4/6/2014
341.215,4/7/2014
341.235,4/8/2014
341.259,4/9/2014
341.288,4/10/2014
341.328,4/11/2014
341.332,4/12/2014
341.333,4/13/2014
341.34,4/14/2014
341.35,4/15/2014
341.363,4/16/2014
341.374,4/17/2014
341.392,4/18/2014
341.407,4/19/2014
341.415,4/20/2014
341.418,4/21/2014
341.434,4/22/2014
341.451,4/23/2014
341.467,4/24/2014
341.469,4/25/2014
341.485,4/26/2014
341.486,4/27/2014
341.489,4/28/2014
341.514,4/29/2014
341.536,4/30/2014
341.548,5/1/2014
341.564,5/2/2014
341.567,5/3/2014
341.57,5/4/2014
341.573,5/5/2014
341.576,5/6/2014
341.579,5/7/2014
341.584,5/8/2014
341.589,5/9/2014
341.593,5/10/2014
341.598,5/11/2014
341.602,5/12/2014
341.612,5/13/2014
341.624,5/14/2014
341.631,5/15/2014
341.638,5/16/2014
341.645,5/17/2014
341.652,5/18/2014
341.658,5/19/2014
341.665,5/20/2014
341.672,5/21/2014
341.679,5/22/2014
341.686,5/23/2014
341.693,5/24/2014
341.699,5/25/2014
341.706,5/26/2014
341.713,5/27/2014
341.72,5/28/2014
341.727,5/29/2014
341.733,5/30/2014
341.733,5/31/2014
341.752,6/1/2014
341.771,6/2/2014
341.774,6/3/2014
341.775,6/4/2014
341.789,6/5/2014
341.801,6/6/2014
341.811,6/7/2014
341.798,6/8/2014
341.783,6/9/2014
341.79,6/10/2014
341.808,6/11/2014
341.826,6/12/2014
341.844,6/13/2014
341.87,6/14/2014
341.879,6/15/2014
341.884,6/16/2014
341.889,6/17/2014
341.894,6/18/2014
341.899,6/19/2014
341.904,6/20/2014
341.909,6/21/2014
341.914,6/22/2014
341.919,6/23/2014
341.924,6/24/2014
341.93,6/25/2014
341.935,6/26/2014
341.94,6/27/2014
341.945,6/28/2014
341.95,6/29/2014
341.952,6/30/2014
341.955,7/1/2014
341.958,7/2/2014
341.961,7/3/2014
341.964,7/4/2014
341.968,7/5/2014
342.005,7/6/2014
342.061,7/7/2014
342.111,7/8/2014
342.116,7/9/2014
342.111,7/10/2014
342.106,7/11/2014
342.1,7/12/2014
342.095,7/13/2014
342.09,7/14/2014
342.084,7/15/2014
342.079,7/16/2014
342.074,7/17/2014
342.068,7/18/2014
342.063,7/19/2014
342.058,7/20/2014
342.052,7/21/2014
342.047,7/22/2014
342.042,7/23/2014
342.036,7/24/2014
342.033,7/25/2014
342.045,7/26/2014
342.058,7/27/2014
342.071,7/28/2014
342.085,7/29/2014
342.098,7/30/2014
342.112,7/31/2014
342.118,8/1/2014
342.077,8/2/2014
342.059,8/3/2014
342.063,8/4/2014
342.06,8/5/2014
342.061,8/6/2014
342.077,8/7/2014
342.078,8/8/2014
342.085,8/9/2014
342.111,8/10/2014
342.117,8/11/2014
342.107,8/12/2014
342.089,8/13/2014
342.082,8/14/2014
342.107,8/15/2014
342.152,8/16/2014
342.206,8/17/2014
342.216,8/18/2014
342.179,8/19/2014
342.147,8/20/2014
342.133,8/21/2014
342.125,8/22/2014
342.126,8/23/2014
342.135,8/24/2014
342.157,8/25/2014
342.177,8/26/2014
342.177,8/27/2014
342.168,8/28/2014
342.168,8/29/2014
342.185,8/30/2014
342.206,8/31/2014
342.227,9/1/2014
342.25,9/2/2014
342.219,9/3/2014
342.176,9/4/2014
342.078,9/5/2014
341.917,9/6/2014
341.771,9/7/2014
341.657,9/8/2014
341.616,9/9/2014
341.629,9/10/2014
341.62,9/11/2014
341.626,9/12/2014
341.676,9/13/2014
341.732,9/14/2014
341.788,9/15/2014
341.839,9/16/2014
341.802,9/17/2014
341.679,9/18/2014
341.535,9/19/2014
341.378,9/20/2014
341.205,9/21/2014
341.053,9/22/2014
