WL,Date,Borehole,No of Covariates,,,,,,,
167.641,3/1/2010,GW021266.3.4,2,,,,,,,
170.525,4/1/2010,GW021266.3.4,2,,,,,,,
172.179,5/1/2010,GW021266.3.4,2,,,,,,,
173.098,6/1/2010,GW021266.3.4,2,,,,,,,
173.997,7/1/2010,GW021266.3.4,2,,,,,,,
166.542,8/1/2010,GW021266.3.4,2,,,,,,,
173.242,9/1/2010,GW021266.3.4,2,,,,,,,
158.985,10/1/2010,GW021266.3.4,2,,,,,,,
156.805,11/1/2010,GW021266.3.4,2,,,,,,,
171.627,12/1/2010,GW021266.3.4,2,,,,,,,
168.439,1/1/2011,GW021266.3.4,2,,,,,,,
148.673,2/1/2011,GW021266.3.4,2,,,,,,,
153.249,3/1/2011,GW021266.3.4,2,,,,,,,
169.591,4/1/2011,GW021266.3.4,2,,,,,,,
172.893,5/1/2011,GW021266.3.4,2,,,,,,,
174.505,6/1/2011,GW021266.3.4,2,,,,,,,
175.638,7/1/2011,GW021266.3.4,2,,,,,,,
153.074,8/1/2011,GW021266.3.4,2,,,,,,,
152.298,9/1/2011,GW021266.3.4,2,,,,,,,
166.749,10/1/2011,GW021266.3.4,2,,,,,,,
152.26,11/1/2011,GW021266.3.4,2,,,,,,,
168.408,12/1/2011,GW021266.3.4,2,,,,,,,
172.843,1/1/2012,GW021266.3.4,2,,,,,,,
174.557,2/1/2012,GW021266.3.4,2,,,,,,,
176.018,3/1/2012,GW021266.3.4,2,,,,,,,
176.765,4/1/2012,GW021266.3.4,2,,,,,,,
177.395,5/1/2012,GW021266.3.4,2,,,,,,,
177.849,6/1/2012,GW021266.3.4,2,,,,,,,
178.138,7/1/2012,GW021266.3.4,2,,,,,,,
178.349,8/1/2012,GW021266.3.4,2,,,,,,,
178.119,9/1/2012,GW021266.3.4,2,,,,,,,
175.982,10/1/2012,GW021266.3.4,2,,,,,,,
174.594,11/1/2012,GW021266.3.4,2,,,,,,,
172.286,12/1/2012,GW021266.3.4,2,,,,,,,
153.426,1/1/2013,GW021266.3.4,2,,,,,,,
163.51,2/1/2013,GW021266.3.4,2,,,,,,,
170.066,3/1/2013,GW021266.3.4,2,,,,,,,
174.429,4/1/2013,GW021266.3.4,2,,,,,,,
176.757,5/1/2013,GW021266.3.4,2,,,,,,,
176.787,6/1/2013,GW021266.3.4,2,,,,,,,
175.893,7/1/2013,GW021266.3.4,2,,,,,,,
174.521,8/1/2013,GW021266.3.4,2,,,,,,,
168.474,9/1/2013,GW021266.3.4,2,,,,,,,
154.877,10/1/2013,GW021266.3.4,2,,,,,,,
142.794,11/1/2013,GW021266.3.4,2,,,,,,,
136.818,12/1/2013,GW021266.3.4,2,,,,,,,
132.64,1/1/2014,GW021266.3.4,2,,,,,,,
133.786,2/1/2014,GW021266.3.4,2,,,,,,,
156.534,3/1/2014,GW021266.3.4,2,,,,,,,
167.288,4/1/2014,GW021266.3.4,2,,,,,,,
