Date,residual,fitted
2017-08-17,-0.023254395,0.9709852
2017-08-18,-0.02243042,0.970804
2017-08-19,-0.022277832,0.9704225
2017-08-20,-0.022064209,0.9701288
2017-08-21,-0.022064209,0.97030234
2017-08-22,-0.02255249,0.970453
2017-08-23,-0.02218628,0.9702966
2017-08-24,-0.02243042,0.97041583
2017-08-25,-0.022125244,0.970083
2017-08-26,-0.021881104,0.9699209
2017-08-27,-0.022369385,0.9702451
2017-08-28,-0.022583008,0.97023654
2017-08-29,-0.022064209,0.97008586
2017-08-30,-0.021942139,0.9699619
2017-08-31,-0.021697998,0.969713
2017-09-01,-0.021728516,0.96975493
2017-09-02,-0.022003174,0.9698293
2017-09-03,-0.022399902,0.97024417
2017-09-04,-0.023040771,0.970433
2017-09-05,-0.022644043,0.9702337
2017-09-06,-0.022064209,0.9698694
2017-09-07,-0.021850586,0.9696624
2017-09-08,-0.021636963,0.96962905
2017-09-09,-0.02166748,0.96949744
2017-09-10,-0.021759033,0.96953654
2017-09-11,-0.021575928,0.96958804
2017-09-12,-0.021942139,0.9697015
2017-09-13,-0.022735596,0.970186
2017-09-14,-0.022399902,0.9699857
2017-09-15,-0.021331787,0.96933913
2017-09-16,-0.02130127,0.96925426
2017-09-17,-0.020965576,0.96905303
2017-09-18,-0.020935059,0.9689672
2017-09-19,-0.021453857,0.96929145
2017-09-20,-0.0211792,0.9691293
2017-09-21,-0.021209717,0.9691713
2017-09-22,-0.021118164,0.96921897
2017-09-23,-0.021636963,0.96941257
2017-09-24,-0.021881104,0.9696605
2017-09-25,-0.02154541,0.96937346
2017-09-26,-0.020996094,0.9689224
2017-09-27,-0.020996094,0.9690511
2017-09-28,-0.021026611,0.969136
2017-09-29,-0.020385742,0.9687755
2017-09-30,-0.020141602,0.96865535
2017-10-01,-0.01953125,0.96829295
2017-10-02,-0.020111084,0.9680946
2017-10-03,-0.019561768,0.9681184
2017-10-04,-0.019378662,0.9682138
2017-10-05,-0.01953125,0.9683807
2017-10-06,-0.01953125,0.96850944
2017-10-07,-0.019195557,0.96813464
2017-10-08,-0.019195557,0.9680488
2017-10-09,-0.020233154,0.96865153
2017-10-10,-0.020202637,0.9687402
2017-10-11,-0.019958496,0.9685781
2017-10-12,-0.020050049,0.9685743
2017-10-13,-0.019378662,0.96825767
2017-10-14,-0.018951416,0.96810126
2017-10-15,-0.0184021,0.9677379
2017-10-16,-0.018005371,0.96745086
2017-10-17,-0.01763916,0.9673383
2017-10-18,-0.017059326,0.96714664
2017-10-19,-0.016845703,0.9670694
2017-10-20,-0.017425537,0.96743274
2017-10-21,-0.018188477,0.96778846
2017-10-22,-0.018249512,0.96795917
2017-10-23,-0.017913818,0.96780086
2017-10-24,-0.017181396,0.9674442
2017-10-25,-0.017578125,0.96759963
2017-10-26,-0.018493652,0.9681213
2017-10-27,-0.017974854,0.96788573
2017-10-28,-0.017547607,0.9675586
2017-10-29,-0.017425537,0.9676063
2017-10-30,-0.017425537,0.9676931
2017-10-31,-0.015960693,0.9670217
2017-11-01,-0.015991211,0.966933
2017-11-02,-0.015838623,0.9668968
2017-11-03,-0.015777588,0.966769
2017-11-04,-0.014984131,0.96650195
2017-11-05,-0.014312744,0.9662702
2017-11-06,-0.015258789,0.9666631
2017-11-07,-0.015167236,0.96670985
2017-11-08,-0.013763428,0.96612144
2017-11-09,-0.0132751465,0.9657533
2017-11-10,-0.01260376,0.96561027
2017-11-11,-0.012542725,0.9655702
2017-11-12,-0.012542725,0.9656122
2017-11-13,-0.012786865,0.9655597
2017-11-14,-0.012664795,0.9655645
2017-11-15,-0.0138549805,0.9656427
2017-11-16,-0.012390137,0.96575046
2017-11-17,-0.012451172,0.96578956
2017-11-18,-0.013092041,0.96610904
2017-11-19,-0.013336182,0.9661405
2017-11-20,-0.0126953125,0.96586585
2017-11-21,-0.012359619,0.96583724
2017-11-22,-0.012481689,0.9659622
2017-11-23,-0.01260376,0.9660423
2017-11-24,-0.012359619,0.96596694
2017-11-25,-0.012268066,0.9658849
2017-11-26,-0.011871338,0.96585727
2017-11-27,-0.011871338,0.96581435
2017-11-28,-0.011474609,0.9657018
2017-11-29,-0.011291504,0.9655378
2017-11-30,-0.010955811,0.96559596
2017-12-01,-0.010864258,0.9656856
2017-12-02,-0.011993408,0.96602607
2017-12-03,-0.012268066,0.96648955
2017-12-04,-0.012573242,0.96647716
2017-12-05,-0.01272583,0.9665992
2017-12-06,-0.012298584,0.9665315
2017-12-07,-0.011749268,0.9662092
2017-12-08,-0.011047363,0.9659803
2017-12-09,-0.009765625,0.9653871
2017-12-10,-0.008972168,0.96503234
2017-12-11,-0.008850098,0.96499515
2017-12-12,-0.008880615,0.96503615
2017-12-13,-0.008758545,0.9650419
2017-12-14,-0.008972168,0.9651191
2017-12-15,-0.008270264,0.96501994
2017-12-16,-0.0077209473,0.9646976
2017-12-17,-0.0071105957,0.96459365
2017-12-18,-0.007293701,0.964587
2017-12-19,-0.006713867,0.96443915
2017-12-20,-0.0077819824,0.9648254
2017-12-21,-0.008026123,0.96511626
2017-12-22,-0.008300781,0.96523356
2017-12-23,-0.009185791,0.9654119
2017-12-24,-0.009613037,0.96548057
2017-12-25,-0.008636475,0.96530604
2017-12-26,-0.008026123,0.96490073
2017-12-27,-0.0076293945,0.96470046
2017-12-28,-0.007385254,0.96453834
2017-12-29,-0.0075683594,0.9645307
2017-12-30,-0.00869751,0.9650438
2017-12-31,-0.009124756,0.96528506
2018-01-01,-0.009246826,0.9652803
2018-01-02,-0.0093688965,0.9651878
2018-01-03,-0.008331299,0.9647577
2018-01-04,-0.006958008,0.96412635
2018-01-05,-0.006378174,0.963804
2018-01-06,-0.00592041,0.9635217
2018-01-07,-0.0057678223,0.9633987
2018-01-08,-0.0056762695,0.96327186
2018-01-09,-0.005279541,0.9631603
2018-01-10,-0.004852295,0.96296287
2018-01-11,-0.004638672,0.9627559
2018-01-12,-0.0056152344,0.9631889
2018-01-13,-0.006286621,0.9635494
2018-01-14,-0.00579834,0.9632251
2018-01-15,-0.0045166016,0.96254516
2018-01-16,-0.0035095215,0.96215606
2018-01-17,-0.003326416,0.9618623
2018-01-18,-0.0028381348,0.9617088
2018-01-19,-0.0030517578,0.9617431
2018-01-20,-0.0034484863,0.96172595
2018-01-21,-0.0032043457,0.9616077
2018-01-22,-0.00289917,0.9614923
2018-01-23,-0.0026245117,0.9613302
2018-01-24,-0.0024719238,0.96116424
2018-01-25,-0.001953125,0.9610145
2018-01-26,-0.0020141602,0.96079516
2018-01-27,-0.0018615723,0.960758
2018-01-28,-0.0018005371,0.9605882
2018-01-29,-0.0015563965,0.96051097
2018-01-30,-0.001953125,0.96062446
2018-01-31,-0.0018920898,0.9606273
2018-02-01,-0.00048828125,0.96003985
2018-02-02,-6.1035156e-05,0.959625
2018-02-03,0.0004272461,0.95930076
2018-02-04,0.0010681152,0.9589822
2018-02-05,0.0010986328,0.9588983
2018-02-06,0.0010375977,0.9588516
2018-02-07,0.0015258789,0.958657
2018-02-08,0.0014038086,0.95860744
2018-02-09,0.0010986328,0.95872474
2018-02-10,0.000579834,0.9589622
2018-02-11,0.00021362305,0.95907474
2018-02-12,0.000579834,0.9588764
2018-02-13,0.0013122559,0.9586036
2018-02-14,0.0015563965,0.9583986
2018-02-15,0.0020141602,0.9581163
2018-02-16,0.001953125,0.95806956
2018-02-17,0.0020751953,0.9578588
2018-02-18,0.0022277832,0.95777965
2018-02-19,0.0021362305,0.9578197
2018-02-20,0.0021972656,0.9578216
2018-02-21,0.0025024414,0.9575317
2018-02-22,0.0027770996,0.9574573
2018-02-23,0.0024414062,0.9574001
2018-02-24,0.0025939941,0.9574497
2018-02-25,0.0018920898,0.95776534
2018-02-26,0.0013122559,0.95812964
2018-02-27,0.001739502,0.9576719
2018-02-28,0.0018005371,0.9576309
2018-03-01,0.0018310547,0.95771956
2018-03-02,0.002166748,0.9575603
2018-03-03,0.0023498535,0.9574821
2018-03-04,0.0021972656,0.957216
2018-03-05,0.0022583008,0.9572189
2018-03-06,0.0029296875,0.9568584
2018-03-07,0.003479004,0.9564941
2018-03-08,0.003692627,0.9562862
2018-03-09,0.0038757324,0.9560783
2018-03-10,0.004333496,0.9559257
2018-03-11,0.003967285,0.9559963
2018-03-12,0.0038146973,0.9562061
2018-03-13,0.003753662,0.95611644
2018-03-14,0.0043945312,0.9558418
2018-03-15,0.004119873,0.9559591
2018-03-16,0.004852295,0.9559057
2018-03-17,0.005432129,0.955714
2018-03-18,0.0056762695,0.95568156
2018-03-19,0.0060424805,0.9555681
2018-03-20,0.0067443848,0.95533824
2018-03-21,0.007659912,0.95498824
2018-03-22,0.008239746,0.9548414
2018-03-23,0.008483887,0.95485187
2018-03-24,0.00869751,0.9549482
2018-03-25,0.008605957,0.95524573
2018-03-26,0.008636475,0.9554632
2018-03-27,0.009124756,0.95509505
2018-03-28,0.010040283,0.9548309
2018-03-29,0.010437012,0.9548061
2018-03-30,0.01071167,0.9547746
2018-03-31,0.011413574,0.95458865
2018-04-01,0.011993408,0.9544847
2018-04-02,0.0121154785,0.95444655
2018-04-03,0.012756348,0.9543874
2018-04-04,0.013122559,0.954273
2018-04-05,0.013641357,0.95425296
2018-04-06,0.014007568,0.9541395
2018-04-07,0.014801025,0.95391345
2018-04-08,0.01550293,0.9537704
2018-04-09,0.01586914,0.95374465
2018-04-10,0.016235352,0.95362926
2018-04-11,0.01586914,0.9534414
2018-04-12,0.01739502,0.9534633
2018-04-13,0.017425537,0.9536388
2018-04-14,0.01663208,0.9539926
2018-04-15,0.017089844,0.9539697
2018-04-16,0.018310547,0.95354724
2018-04-17,0.019317627,0.95320106
2018-04-18,0.020263672,0.9529836
2018-04-19,0.020477295,0.9529493
2018-04-20,0.020843506,0.9529655
2018-04-21,0.021209717,0.952852
2018-04-22,0.02178955,0.95274615
2018-04-23,0.02218628,0.9527633
2018-04-24,0.022369385,0.9528148
2018-04-25,0.02255249,0.9529512
2018-04-26,0.022735596,0.95291686
2018-04-27,0.023956299,0.9525373
2018-04-28,0.024658203,0.95226645
2018-04-29,0.025115967,0.9521549
2018-04-30,0.025634766,0.9520042
2018-05-01,0.026519775,0.9519136
2018-05-02,0.026397705,0.95208144
2018-05-03,0.02645874,0.95221305
2018-05-04,0.026885986,0.95231795
2018-05-05,0.028381348,0.95169234
2018-05-06,0.029266357,0.95147014
2018-05-07,0.029205322,0.9516399
2018-05-08,0.029022217,0.95180583
2018-05-09,0.029144287,0.9518974
2018-05-10,0.028533936,0.9523027
2018-05-11,0.028869629,0.95223117
2018-05-12,0.029510498,0.9522159
2018-05-13,0.03048706,0.95182586
2018-05-14,0.03152466,0.95156837
2018-05-15,0.031829834,0.95153785
2018-05-16,0.032562256,0.9514406
2018-05-17,0.032836914,0.9513643
2018-05-18,0.033050537,0.95150447
2018-05-19,0.033294678,0.95151496
2018-05-20,0.033447266,0.95152164
2018-05-21,0.033996582,0.95137286
2018-05-22,0.0345459,0.95143867
2018-05-23,0.034851074,0.9513233
2018-05-24,0.035186768,0.9513376
2018-05-25,0.03591919,0.95119643
2018-05-26,0.03656006,0.9510076
2018-05-27,0.036712646,0.9510572
2018-05-28,0.03652954,0.9512222
2018-05-29,0.03652954,0.9514816
2018-05-30,0.036376953,0.9515617
2018-05-31,0.037384033,0.9513891
2018-06-01,0.03756714,0.95135474
2018-06-02,0.037841797,0.9515388
2018-06-03,0.037750244,0.9516647
2018-06-04,0.037902832,0.9516275
2018-06-05,0.038879395,0.9513242
2018-06-06,0.039764404,0.95106006
